,name,calories,carbohydrate,total_fat,protein,cluster,name_encoded
2407,Acorn-Squash-Rings-with-Cranberries-and-Apples,213.5,29.0,11.7,1.1,1,251
2408,Holiday-Carrots-Casserole,192.6,29.4,6.7,5.2,1,310
2409,Caribbean-Chicken-with-Pineapple,117.1,26.2,1.2,3.1,1,509
2410,Dill-Lemon-Rice,194.8,37.1,3.2,3.4,1,294
2411,Low-Fat-Breakfast-Brulee,108.6,27.6,0.2,0.4,1,51
2412,Jewish-Chicken-Soup-with-Matzo-Balls,103.2,10.2,3.6,7.5,1,2598
2413,Cracker-Barrel-Old-Country-Store-Fried-Apples,184.8,28.4,8.8,0.4,1,358
2414,Apple-Pie-Cake-II,255.4,41.5,9.1,3.6,1,20
2415,Extra-Rich-Peanut-Butter-Fudge,218.9,34.1,8.4,4.3,1,832
2416,Quick-N-Easy-Blueberry-Muffins,112.4,20.9,1.6,3.7,1,84
2417,English-Muffin-Bread-II,107.2,21.8,0.3,3.7,1,386
2418,No-Fat-Fruitcake,193.1,41.0,1.2,4.8,1,111
2419,Pumpkin-Cookies,167.0,23.6,7.8,1.2,1,56
2420,Cobbler-Made-With-Bisquick-Mix,142.1,18.8,6.2,2.6,1,197
2421,Tangy-Ambrosia-Sald,141.8,13.2,10.1,1.4,1,375
2422,Green-Tomato-Pie,139.7,34.5,0.3,1.3,1,44
2423,Mocha-Walnut-Christmas-Cookies,107.2,13.9,5.9,1.2,1,486
2424,Merry-Christmas-Cookies,114.4,11.6,7.6,1.6,1,2601
2425,Orange-Muffins,159.5,32.3,2.6,2.4,1,34
2426,Peanut-Butter-Fudge-II,202.0,28.5,9.1,3.4,1,36
2427,Oven-Fried-Chicken-II,178.3,12.3,7.0,15.3,1,206
2428,Vegetarian-Mushroom-Gravy,126.7,24.7,0.7,7.1,1,158
2429,Oatmeal-Chocolate-Chip-Cookies,131.3,19.3,5.7,2.0,1,70
2430,Oatmeal-Chocolate-Chip-Cookies--No-Eggs-,137.9,17.4,7.6,1.5,1,70
2431,Nan-s-Best-Dark-Fruitcake-,179.9,28.4,6.2,2.2,1,2602
2432,Basic-Cocktail-Sauce,117.0,31.2,0.6,2.1,1,441
2433,Unbaked-Chocolate-Chip-Oatmeal-Cookies,157.3,26.5,5.0,2.5,1,2603
2434,Candied-Acorn-Squash,223.2,40.4,7.9,1.8,1,979
2435,Stuffed-Artichokes,111.6,14.2,3.5,9.0,1,61
2436,Old-Fashioned-Coconut-Oatmeal-Cookies,157.9,19.3,8.9,1.9,1,218
2437,Dynamite-Oatmeal-Chocolate-Chip-Raisin-Cookies,202.7,30.1,9.2,2.1,1,2604
2438,Oatmeal-Cookies,167.4,19.4,9.8,2.2,1,70
2439,Thai-Noodles-With-Seafood,179.4,6.6,9.9,16.3,1,253
2440,Cream-of-Tomato---Pumpkin-Soup,147.8,31.4,2.8,3.5,1,22
2441,Tuna-and-Corn-Fish-Cakes,176.0,16.5,4.6,16.7,1,80
2442,Prune-Puree,136.1,36.2,0.2,1.2,1,1095
2443,Ambrosia-Oatmeal-Chocolate-Chip-Cookies,171.4,23.3,8.6,2.1,1,537
2444,Mrs--Field-s-Oatmeal-Cookies,143.4,20.4,6.7,1.9,1,497
2445,Sweet-Potato-Pie-V,238.7,38.2,8.4,3.8,1,28
2446,Canadian-Living-s-Best-Chocolate-Chip-Cookies,112.0,14.3,6.2,1.1,1,753
2447,Mike-s-Grand-Marnier-Chocolate-Chip-Cookies,156.1,20.1,8.3,1.8,1,2605
2448,Polenta-with-Wild-Mushroom-Sauce,232.8,37.0,6.0,5.4,1,493
2449,Low-Fat-Pumpkin-Pie,247.9,38.2,7.8,7.0,1,51
2450,Oatmeal-Chocolate-Chip-Cookies-II,209.9,29.2,9.9,2.7,1,70
2451,Soft-Spice-Bars,111.0,16.1,4.9,1.1,1,320
2452,Ice-Box-Fruitcake,217.0,18.1,16.3,2.1,1,149
2453,Fudge-Drops,107.7,19.3,3.1,2.0,1,91
2454,Spaghetti-Sauce,153.6,7.2,8.8,12.1,1,118
2455,Christmas-Tree-Biscuits,122.1,18.6,4.5,2.0,1,254
2456,Chocolate-Chip-Cookies,162.0,21.3,8.5,1.8,1,6
2457,Cushaw-Casserole,228.2,24.0,12.7,5.0,1,2606
2458,Ribbon-Fantasy-Fudge,168.3,25.3,7.2,1.5,1,980
2459,Hungarian-Pork-and-Sauerkraut-Goulash,218.8,15.6,16.6,4.5,1,711
2460,Golden-Bran-and-Raspberry-Muffins,177.5,40.9,0.7,5.6,1,300
2461,Sweet-Potato-and-Raisin-Muffins,219.7,49.1,0.4,5.5,1,28
2462,Honey-Oat-Biscotti,102.5,14.9,4.1,2.0,1,97
2463,Old-Fashioned-Scrapple,231.4,16.0,12.9,12.4,1,218
2464,Scrapple,171.9,36.7,1.7,3.9,1,1345
2465,Easy-Christmas-Cookies-II,108.1,12.4,6.1,1.2,1,24
2466,Christmas-Cookies,137.7,20.1,6.2,1.6,1,254
2467,Baked-Butternut-Squash-With-Orange,191.6,41.5,3.8,3.6,1,23
2468,Mexicalli-Onions,108.6,15.2,4.7,2.9,1,2607
2469,Beef-Jerky-II,116.8,22.4,0.1,8.1,1,47
2470,Morning-Maple-Muffins,212.2,29.9,9.3,2.9,1,1346
2471,Burst-O--Lemon-Muffins,236.5,37.0,8.7,3.7,1,2609
2472,Applesauce-Drop-Doughnuts,121.7,22.9,2.0,2.9,1,212
2473,Green-Bean-Casserole,113.1,18.3,3.3,3.8,1,44
2474,Cookies-in-a-Jar,105.3,20.9,1.9,1.2,1,8
2475,Onion-Herb-Bread-II,106.0,20.2,1.3,3.1,1,53
2476,Pumpkin-Bars,209.1,30.6,9.2,2.0,1,56
2477,Nutty-Apricot-Bars,107.4,17.0,4.4,1.0,1,563
2478,Black-and-Tan-Onion-Rings,159.3,31.7,1.3,5.3,1,66
2479,Vegetable-Chili,125.0,21.7,2.0,7.1,1,31
2480,Salad-Dressing-Dry-Mix,179.3,11.8,14.4,3.1,1,1
2481,Black-Bean-Orzo-Salad,143.2,20.7,5.2,4.2,1,66
2482,Maui-Onion-Rings,187.5,40.2,0.5,4.8,1,2611
2483,Galletes-de-Pommes-de-Terre-Potato-Cakes,223.7,37.2,6.9,4.3,1,2612
2484,Microwave-Gravy-II,168.7,33.5,1.1,5.5,1,278
2485,Lemon-Orzo-Pilaf,174.1,31.9,1.3,7.8,1,37
2486,Split-Pea-Soup-Mix,150.2,27.9,0.6,8.7,1,388
2487,Raisin-Almond-Bread,229.6,25.9,12.2,4.7,1,110
2488,Cumin-Flavored-Carrot-Salad,101.3,23.3,0.8,2.5,1,676
2489,Sweet-Potato-Biscuit,133.5,19.5,5.1,3.2,1,28
2490,Orange-Flower-Dinner-Rolls,132.6,16.9,6.0,2.6,1,34
2491,Sesame-Greek-Easter-Cookies--Koulourakia-,123.6,18.6,4.5,2.3,1,227
2492,Black-Walnut-Cookies-II,105.2,15.2,4.4,1.7,1,66
2493,Banana-Filling-and-Icing,148.9,12.6,11.1,0.8,1,38
2494,Salsa-II,165.1,19.0,9.8,3.6,1,69
2495,Garlic-Mashed-Potatoes-III,168.6,29.1,4.2,4.4,1,33
2496,Homemade-Cranberry-Relish,228.4,59.0,0.1,0.3,1,136
2497,Roasted-Potatoes-With-Sage-and-Garlic,230.4,35.7,8.3,4.2,1,49
2498,Sage-Biscuits,189.0,22.4,9.4,3.6,1,689
2499,Chili-Dip,146.0,9.0,10.5,5.5,1,64
2500,Creamy-Spinach-Dip,152.0,6.8,12.7,5.2,1,59
2501,Guacamole-II,115.2,7.5,9.9,1.6,1,198
2502,Hot-Cheese-and-Sausage-Dip,183.3,7.0,13.9,7.7,1,43
2503,Spinach-Dip-II,157.3,9.7,12.1,4.3,1,41
2504,Hot-Artichoke-Dip-II,157.8,13.9,9.2,7.8,1,43
2505,Bacon-Horseradish-Dip,145.9,3.4,13.6,3.3,1,100
2506,Salmon-Dip,177.7,4.0,13.7,10.6,1,180
2507,Lemon-Cranberry-Anise-Bread,148.5,27.6,2.6,4.2,1,37
2508,Low-Fat-Creamy-Green-Chile-Soup--High-Fiber-,174.7,27.3,3.3,11.2,1,51
2509,Low-Fat-Roasted-Onion-Garlic-Soup,193.6,16.5,5.6,9.6,1,51
2510,Macadamia-and-Ginger-Panforte,118.4,16.8,5.8,1.3,1,322
2511,Fudge-Rum-Balls,165.4,26.7,6.7,1.9,1,91
2512,Eggplant--Aubergine--With-Mushroom-Stuffing,152.4,32.1,1.5,8.3,1,150
2513,Crock-Pot-Beef-Stroganoff-II,154.7,14.2,8.8,4.3,1,160
2514,Cherry-Bars,121.5,13.7,6.9,1.9,1,82
2515,Kiflies,100.5,9.8,6.4,1.9,1,2615
2516,Sweet-Potato-Gravy,160.7,23.9,6.7,3.0,1,28
2517,Almond-Bread,154.9,21.9,5.9,4.8,1,113
2518,Kraut-Burgers-II,159.4,20.2,6.0,6.0,1,1729
2519,Sauerkraut-Burgers-IIi,215.7,26.5,8.4,8.2,1,295
2520,Bagels,181.2,38.5,0.5,5.0,1,964
2521,Brotchen,119.1,24.7,0.3,3.7,1,2616
2522,Homemade-Phyllo-II,160.4,28.6,3.1,3.9,1,136
2523,Pina-Colada,181.7,14.2,6.7,1.4,1,450
2524,Orange-Candy-with-Black-Walnuts,107.4,20.0,2.9,1.5,1,34
2525,Honey-Cake,210.2,48.6,0.6,3.4,1,97
2526,Seven-Layer-Bars,105.8,11.1,6.6,1.9,1,666
2527,Chinese-Chicken-Sandwich,210.2,40.2,3.3,9.0,1,214
2528,Cinnamon-Raisin-Bread,125.5,26.1,1.1,2.8,1,129
2529,Pumpkin-Cookies-II,109.2,14.7,5.4,1.1,1,56
2530,Bagels-II,177.2,37.4,0.5,5.1,1,964
2531,Southern-Biscuits,215.9,24.9,10.9,4.3,1,520
2532,Bog-Fog,126.3,15.0,0.2,0.4,1,2617
2533,Taco-Soup-II,196.7,22.1,7.0,12.2,1,301
2534,Holiday-Fruit-Punch-with-Orange-Slice-Wreath,122.8,30.3,0.5,0.3,1,310
2535,Lemon-Blueberry-Muffins,203.6,28.9,8.4,4.0,1,37
2536,Lemon-Blueberry-Muffins,197.5,35.5,4.7,3.7,1,37
2537,Creamed-Onions,156.4,17.0,7.6,6.0,1,341
2538,Lemon-Cheesecake-Bars,208.0,21.2,13.1,2.6,1,37
2539,Bulgur-Fruit-Salad,134.1,30.2,0.8,4.0,1,677
2540,Aloha-Sweet-Potatoes,136.9,26.9,2.9,1.1,1,1127
2541,Egg-White-French-Toast,182.4,28.6,2.9,9.4,1,404
2542,Turkey-Scaloppine-With-Dijon-Sauce,168.8,13.4,13.4,0.5,1,126
2543,Banana-Raisin-French-Toast,162.5,30.8,2.3,5.9,1,38
2544,Chicken-with-Orange-Peel--Szechwan-Style,159.7,12.6,4.2,14.5,1,7
2545,Oven-Fried-Sweet-Potatoes,196.1,45.9,0.1,3.6,1,206
2546,Mushroom-And-Roasted-Pepper-Sandwich,111.5,15.2,3.4,6.9,1,60
2547,Frijoles-Rancheros,146.3,28.0,0.7,8.6,1,626
2548,Corn-Casserole,143.6,18.6,7.0,3.1,1,35
2549,Dried-Bean-Soup-Mix,167.7,31.3,1.2,9.2,1,184
2550,Pasta-Soup-Mix,118.2,18.6,1.6,7.5,1,25
2551,Banana-Scotcheroo-Milk-Shake,192.2,30.2,6.6,5.3,1,38
2552,Sweet-Potato-Casserole-IV,209.7,36.7,6.2,2.9,1,28
2553,Apple-Scones,135.5,21.4,4.4,2.5,1,20
2554,Holiday-Eggnog-Bread,176.4,25.2,7.0,3.7,1,310
2555,California-Apple-Spinach-Salad,180.8,4.9,17.1,2.4,1,982
2556,Mamie-Eisenhower-s-Fudge,223.2,42.1,6.4,1.8,1,2622
2557,Maple-Glazed-Sweet-Potatoes,257.2,46.7,7.4,2.8,1,241
2558,Winter-Squash-Soup,120.9,9.9,8.5,2.5,1,395
2559,Cherry-Pie,159.9,40.4,0.2,1.2,1,82
2560,Crancherry-Sauce,122.0,31.3,0.2,0.7,1,2624
2561,Millet-Loaf,149.8,27.3,2.8,4.1,1,924
2562,Banana-Oatmeal-Cake-with-Caramel-Fudge-Frosting,135.1,21.2,4.7,2.4,1,38
2563,Truffle-Topped-Amaretto-Brownies,146.6,14.8,9.8,1.9,1,1731
2564,Creamed-Turnips,233.0,20.9,14.5,6.4,1,341
2565,Traditional-Stuffing,195.4,23.6,9.3,4.2,1,364
2566,Corn-Side-Dish,147.5,30.2,3.1,4.0,1,35
2567,Easy-Pudding-Fudge,105.9,20.9,2.6,0.6,1,24
2568,Orange-Pineapple-Angel-Torte,234.1,33.2,11.2,2.3,1,34
2569,Cranberry-Filled-Squash--Microwave-Only--,194.3,37.2,6.0,2.0,1,72
2570,Glazed-Turkey-Steaks,169.8,45.4,0.1,0.9,1,213
2571,English-Pea-Salad,118.0,18.8,1.8,7.4,1,386
2572,Cranberry-Orange--amp--Port-Sauce,185.3,40.6,0.1,0.7,1,72
2573,Orange--Chocolate--amp--Cinnamon-Muffins,175.2,24.9,7.8,3.8,1,34
2574,Lemon-Pillows,105.9,13.3,5.2,1.4,1,37
2575,Lime-Zest-Wafers,122.1,12.4,7.7,1.2,1,186
2576,Cherry-Cheese-Salad,136.0,10.8,8.9,3.7,1,82
2577,Roasted-Parsnips-and-Onions,192.6,31.4,7.3,2.7,1,49
2578,Tuna---Macaroni-Casserole-Siciliana,111.9,11.0,1.9,12.4,1,80
2579,Vegetable-Lasagna-II,223.1,27.6,9.0,8.9,1,31
2580,Sweet-Potato---Pear-Soup,123.3,23.2,2.5,4.2,1,28
2581,Appetizer-Sweet-and-Sour-Meatballs,116.3,27.1,0.8,1.4,1,593
2582,Baked-Sweet-Potato-Chips,103.5,24.4,0.1,1.9,1,23
2583,Sweet-Potatoes-With-Apricot-and-Orange,187.0,36.5,3.9,2.7,1,28
2584,Orange-Angel-Cake-II,166.8,37.6,0.3,4.1,1,34
2585,Parmesan-Rice-and-Pasta-Pilaf,169.4,25.3,5.5,3.9,1,132
2586,Orange-Chocolate-Muffins,172.4,24.2,7.7,2.9,1,34
2587,Chocolate-Orange-Mousse,145.9,20.3,6.1,3.6,1,6
2588,Roti,228.1,48.0,0.6,6.5,1,478
2589,Italian-Chocolate-Cookies,166.1,22.2,7.7,3.4,1,92
2590,Chewy-Chocolate-Cookies,123.7,14.6,6.5,2.1,1,323
2591,Waldorf-Salad-Iv,118.3,16.1,6.1,2.4,1,448
2592,-Philly--Waldorf-Salad,180.7,10.7,14.9,3.0,1,1306
2593,Old-Fashion-Waldorf-Salad,107.4,25.9,1.0,1.2,1,218
2594,Irish-Cream,195.9,19.4,3.9,3.9,1,172
2595,Sizzler-s-Cheese-Toast,176.4,0.4,18.1,3.8,1,2626
2596,Spritz-Cookies-II,102.0,11.2,5.9,1.1,1,1734
2597,Christmas-Chocolate-Pistachio-Thumbprints,217.3,22.8,13.6,2.5,1,254
2598,Baker-s-Christmas-Cookies,135.0,9.6,11.1,1.6,1,1735
2599,Molasses-Cookies,142.6,21.2,6.0,1.4,1,508
2600,Kahlua-Balls,120.1,17.3,5.0,1.5,1,740
2601,Holiday-Turkey-and-Biscuits,228.2,30.0,9.4,6.3,1,310
2602,Cheesecake-Fudge,161.1,8.7,13.3,2.4,1,159
2603,Italian-Sprinkle-Cookies,102.7,16.5,3.4,1.5,1,92
2604,Chocolate-Biscotti-II,100.8,12.5,5.4,1.5,1,6
2605,White-Chocolate-Cranberry-Biscotti,132.9,19.2,5.2,2.4,1,78
2606,Ribbon-Oyster-Scallop,194.9,16.4,11.0,7.7,1,980
2607,Bailey-s-Irish-Cream-II,140.4,14.1,5.4,2.7,1,983
2608,Waldorf-Astoria-Beef-Stew---Crock-Pot--Copycat-,193.8,44.7,0.9,4.5,1,448
2609,Salmon---Vegetable-Loaf,163.1,3.9,7.5,19.2,1,180
2610,Anise-Almond-Biscotti,118.1,12.1,6.7,2.8,1,981
2611,Chocolate-Almond-Biscotti,135.2,12.9,8.7,2.9,1,6
2612,Low-Fat-Orange-Date-Nut-Bran-Muffins--High-Fiber-,230.0,34.2,10.6,5.3,1,51
2613,Chocolate-Walnut-Bars,205.8,19.9,14.0,2.5,1,6
2614,Apple-Muffins,211.8,27.4,10.2,3.6,1,20
2615,Rocky-Road-Bars,195.8,24.8,10.6,3.0,1,782
2616,Coco-s-Sour-Cream-Dressing,195.3,7.3,14.7,7.1,1,1349
2617,Buttermilk-Salad-Dressing-Mix,121.9,17.0,2.3,9.2,1,217
2618,Vermont-Style-Coleslaw,145.9,18.7,7.7,2.7,1,1136
2619,Pizza-Pleasure-Bread,207.4,28.0,7.2,7.5,1,74
2620,Easy-Cake-Mix-Cookies,124.0,16.7,5.8,1.5,1,24
2621,Bean-Thread-Salad,202.5,19.8,12.5,5.4,1,19
2622,-Apple-a-Day--Milk-Shake,160.2,21.6,6.6,4.8,1,20
2623,Bean-and-Potato-Soup,125.7,26.3,0.6,6.2,1,19
2624,Circle-of-Hearts-Cherry-Bread,225.3,31.9,9.3,3.8,1,1736
2625,Chocolate-Mousse,218.2,22.7,12.1,11.6,1,6
2626,Potato-Soup-II,183.0,23.7,7.8,5.3,1,11
2627,Easy-3-Step-Holiday-Cherry-Pie,273.8,45.9,8.8,2.2,1,24
2628,Noel-Ice-Cream-Cups,187.6,21.5,10.5,2.7,1,2632
2629,Holiday-Poke-Cake,117.2,12.9,7.2,0.9,1,310
2630,Chicken-Chowder,160.9,23.3,3.8,10.3,1,7
2631,Pumpernickel-Bread,170.2,32.7,3.1,4.2,1,1038
2632,Peanutty-Chocolate-Fudge,115.9,16.6,5.3,2.1,1,1137
2633,Chunky-Buttermilk-Cucumber-Dressing,105.4,17.1,2.4,6.1,1,351
2634,Broccoli-Salad-with-Oven-Roasted-Mushrooms,129.1,18.2,4.6,8.6,1,40
2635,Chocolate-Caramel-Brownies,211.6,29.4,10.6,2.1,1,6
2636,Cinnamon-Apple-Waffles,135.8,21.6,2.8,5.5,1,129
2637,Vegetable-Beef-Soup,137.0,12.3,5.7,10.2,1,31
2638,Shortbread,157.2,18.2,8.8,1.6,1,260
2639,Stuffing---Potato-Bake,137.4,24.9,2.7,3.6,1,311
2640,Grandaddy-s-Christmas-Divinity,167.6,36.2,3.0,1.5,1,2633
2641,Baked-Acorn-or-Hubbard-Squash-With-Orange-Sauce,191.8,38.1,4.8,3.2,1,23
2642,Cheesy-Pasta-Primavera,216.4,16.7,12.1,11.3,1,119
2643,Low-Fat-Broiled-Fish-with-Citrus-Grape-Sauce,117.0,28.8,0.3,1.9,1,51
2644,Blender-Breakfast,206.6,39.0,4.9,5.4,1,1693
2645,Stuffed-Turmeric-Turkey,172.2,21.1,4.9,11.9,1,61
2646,Pumpkin-Bread-II,198.5,27.8,8.4,4.2,1,56
2647,Mango-Muffins,139.0,24.0,4.0,2.3,1,185
2648,Lebon-Khar,126.2,17.5,5.9,1.8,1,2634
2649,Smoothy-Chocolate-Cookies,133.1,15.7,7.8,1.6,1,2636
2650,Quick-N-Easy-Fruit-Dip,121.3,14.6,6.5,1.3,1,84
2651,Nusskipferl--Nut-Crescents-,102.4,12.4,5.2,1.7,1,2637
2652,Black-Russian,104.0,0.0,0.0,0.0,1,66
2653,Bloody-Mary,131.8,7.6,0.2,0.8,1,865
2654,Rotkohl--Red-Cabbage-,204.8,29.4,7.4,4.0,1,2638
2655,Kartoffelpfannkuchen--Potato-Pancakes-,136.2,26.2,1.6,4.8,1,2639
2656,Bayerische-Erdbeercreme--Strawberry-Barvarian-,249.8,34.1,12.6,2.5,1,2640
2657,Decadent-Chocolate-Chip-Cookies,124.6,16.8,6.4,1.2,1,1352
2658,Oatmeal-Raisin-Cookies,128.9,19.3,5.0,2.4,1,70
2659,Andouille-in-Comforting-Barbecue-Sauce,180.8,4.3,13.8,4.0,1,2642
2660,Mos--Nilly-Guacamole,100.7,4.0,8.9,2.5,1,2643
2661,Dehydrator-Barbecue-Sauce,134.6,29.5,0.2,1.0,1,2645
2662,Comforting-Barbecue-Sauce,145.4,10.7,8.8,0.9,1,1353
2663,Spicy-Green-Beans--Masaledar-Sem-,209.9,17.8,15.5,5.5,1,52
2664,Basmati-Chaaval,245.1,47.6,3.7,4.9,1,907
2665,Date-and-Apple-Squares,185.4,26.1,8.4,2.6,1,204
2666,Apple-Raisin-Scones,218.8,34.4,8.0,3.2,1,20
2667,Stir-Fried-Scallops-and-Apples,209.2,18.2,9.3,14.3,1,135
2668,Hot-Potato-Salad,208.4,35.1,6.2,3.6,1,43
2669,Apple-Coleslaw,109.2,17.0,4.8,1.6,1,20
2670,Ginger-Apple-Salad,257.3,44.5,10.0,3.2,1,98
2671,Tropical-Chicken-Salad,151.0,18.6,8.8,2.5,1,293
2672,Quick-Applesauce-Muffins,178.5,24.4,8.1,2.5,1,84
2673,Cream-of-Broccoli-Soup,177.0,17.0,9.1,8.1,1,22
2674,Cucumber-Salad,170.2,17.0,9.1,6.0,1,165
2675,All-Bran-Seed-Loaf,200.6,26.5,9.5,5.0,1,423
2676,Beer-Bread,209.3,42.6,0.5,4.8,1,222
2677,Sourdough-French-Bread,138.2,25.7,2.1,3.6,1,424
2678,The-Doctor-s-Sourdough-Bread,226.7,44.6,2.3,6.5,1,50
2679,Honeymoon-Sourdough-Biscuits,190.8,23.9,9.2,3.0,1,2649
2680,Sheepherder-Bread,119.1,22.6,1.7,2.9,1,2650
2681,Bran-Date-Bread,213.0,39.1,5.9,3.9,1,173
2682,Sourdough-Pizza-Shells,142.0,23.9,3.5,3.2,1,424
2683,Soft-Zucchini-Cinnamon-Bread,220.8,24.6,12.8,3.0,1,320
2684,Cheddar-Biscuits,235.7,25.5,11.5,7.5,1,168
2685,Old-Fashioned-Apple-Cider-Pie,257.3,49.3,7.3,1.3,1,218
2686,Hot-and-Sour-Cabbage,104.8,1.1,11.3,0.4,1,43
2687,Asparagus-Soup,231.1,29.9,8.6,11.3,1,112
2688,Cabbage-Soup-With-Ham--amp--Fresh-Herbs,206.7,41.7,1.2,9.1,1,58
2689,Fruit-Soup,132.0,28.8,0.2,0.8,1,32
2690,Orange-and-Peanut-Sweet-Potatoes,218.2,42.4,4.4,4.5,1,34
2691,Microwave-Pecan-Pie,123.2,17.9,5.7,1.5,1,278
2692,Hot-Chocolate-Float,111.4,23.4,1.1,1.9,1,43
2693,Herbed-Garlic-Croutons,103.8,0.7,11.4,0.2,1,219
2694,Pita-Crisps,121.4,17.1,3.7,4.7,1,369
2695,Chunky-Garden-Gazpacho,107.0,13.5,5.8,2.2,1,351
2696,Batter-Dipped-Tofu,218.8,28.5,8.8,7.9,1,692
2697,Meatless-Mission-Chili,222.9,31.8,8.2,8.9,1,667
2698,Orange-Glazed-Ham,133.1,13.8,6.6,5.5,1,34
2699,Rice-Pilaf,175.7,27.1,6.1,3.2,1,10
2700,Creamy-Mushroom-Soup,192.4,7.7,17.4,3.2,1,59
2701,Swiss-Sauced-Broccoli,138.5,8.3,9.3,6.6,1,269
2702,Glogg,264.6,10.8,0.0,0.3,1,1067
2703,Hot-Buttered-Rum,250.3,13.6,7.6,0.1,1,43
2704,Chocolate-Marshmallow-Bars,210.5,23.3,13.2,2.5,1,6
2705,Mocha-Cookies,133.6,16.3,7.7,1.7,1,486
2706,Fudge-Brownies,146.1,15.2,9.5,1.8,1,91
2707,White-Chocolate-Brownies-II,161.4,19.3,8.5,2.0,1,78
2708,Peanut-Butter-Chip-Cookies,107.6,10.2,6.9,2.6,1,36
2709,White-Gazpacho,207.9,9.8,17.3,5.2,1,78
2710,Minted-Melon-Mold,135.3,25.1,3.7,2.3,1,1103
2711,Linguine-Tuna-Salad,214.7,23.9,7.6,12.7,1,454
2712,Whiskey-Sour-Sirloin,128.2,6.3,9.2,0.5,1,807
2713,Ranch-Style-Chicken-Fried-Steak-and-Gravy,225.8,21.9,12.2,7.0,1,376
2714,Peach-Cream-Pie,190.6,12.9,14.1,4.4,1,114
2715,Bran-Muffins-In-Waiting,181.8,32.5,6.0,4.9,1,173
2716,Butter-Pecan-Muffins,243.5,27.1,13.8,4.1,1,29
2717,Pumpkin-Oat-Muffins,168.8,27.2,5.7,3.1,1,56
2718,Parmesan-Herb-Muffins,140.1,18.6,5.3,4.4,1,132
2719,Lemon-Raspberry-Muffins,250.1,30.8,12.5,3.9,1,37
2720,Pickled-Cocktail-Okra,122.2,18.5,1.0,5.1,1,279
2721,Garlicky-Clam-Dip,120.0,2.1,10.1,5.4,1,551
2722,Pickled-Onions-II,207.2,39.6,1.7,1.6,1,279
2723,Hot-Dog-Relish,228.1,49.4,1.2,5.0,1,43
2724,India-Relish,176.8,35.4,1.5,5.6,1,1355
2725,Red-Hot-Pepper-Sauce,205.4,45.0,0.6,4.3,1,48
2726,Easy-Dill-Pickles,197.8,44.5,1.3,7.8,1,24
2727,Mini-Monte-Cristo-Sandwich-Appetizers,137.3,19.2,4.0,5.9,1,612
2728,Cajun-Style-Chicken-Nuggets,159.6,5.5,7.5,16.7,1,356
2729,Homestyle-Zucchini---Tomatoes,131.9,14.9,7.8,3.4,1,1356
2730,Aunt-Cora-s-Biscuits,206.6,28.6,8.8,3.2,1,452
2731,Fried-Tortilla-Chips,104.6,21.4,1.4,2.7,1,57
2732,Cantaloupe-Melba,175.1,40.1,1.6,2.1,1,642
2733,Brandy-Sauce,210.0,29.1,6.0,0.1,1,549
2734,Grandmother-Merrill-s-Chili-Sauce,139.9,33.8,0.3,1.3,1,1357
2735,Jalapeno-Cheese-Dip---Texas-Style,167.4,6.7,11.7,9.5,1,370
2736,Fiery-Herbed-Barbecue-Sauce,239.7,30.2,14.0,1.2,1,1358
2737,Round-up-Beef--for-a-Crowd-,101.7,24.6,0.2,1.3,1,1742
2738,Wacky-Cake,236.7,39.2,7.9,2.5,1,2657
2739,Fruit-Cocktail-Cake,206.2,46.3,1.1,3.3,1,32
2740,Stuffed-Zucchini-II,106.2,12.3,3.8,7.8,1,61
2741,Baked-Zucchini-with-Tomatoes,172.5,11.0,14.2,2.9,1,23
2742,Summer-Vegetable-Bowl,190.8,38.1,3.7,7.2,1,137
2743,Gazpacho-1--adopted-,178.8,13.3,14.1,2.6,1,540
2744,Sauerbraten--Sauerbraten-Mit-Ingwer-Kuchen-Sosse-,121.5,9.2,8.6,1.0,1,1743
2745,Italian-style-Vegetable-Soup,207.9,14.7,12.6,10.2,1,92
2746,Yogurt-Dip,157.3,13.3,8.0,8.8,1,161
2747,Stir-Fried-Beef-Salad,123.3,12.7,7.5,4.9,1,135
2748,Broccoli-Pasta-Toss,170.1,22.6,6.2,6.7,1,40
2749,Fruited-Spinach-Salad-With-Honey-Mustard-Dressing,106.6,17.0,4.6,1.3,1,1360
2750,Strawberry-Sorbet,158.0,35.0,1.5,3.8,1,68
2751,Pork-Pinwheels-With-Apricot-Stuffing,171.0,14.0,5.0,16.9,1,128
2752,Peach-Bavarian,129.8,18.9,5.0,3.4,1,114
2753,Chow-Down-Chowder,137.8,20.2,3.1,8.8,1,1042
2754,Fruit-Smoothie,100.3,15.3,2.3,4.9,1,32
2755,Herbed-Corn-on-the-Cob,153.7,29.8,4.4,4.0,1,219
2756,Gingersnap-Gravy,175.6,19.5,7.7,7.0,1,899
2757,Pistachio-Pudding-Dessert,130.3,13.0,7.7,2.9,1,539
2758,Frozen-Graham-Custard,115.4,19.8,2.8,2.8,1,276
2759,London-Town-Gratitude-Punch,158.6,40.8,0.1,0.2,1,1587
2760,Overnight-Cookies,150.1,19.3,7.5,2.1,1,763
2761,Simple-Scallops-Supreme,162.5,9.5,3.9,19.9,1,270
2762,Velvet-Molded-Salad,215.2,17.6,15.2,3.7,1,1361
2763,Double-Raspberry-Salad,125.0,31.4,0.2,1.4,1,261
