,name,calories,carbohydrate,total_fat,protein,cluster,name_encoded
81,Tuna-Riffic-Pasta-Salad,362.5,56.7,2.9,26.1,0,80
82,South-Pacific-Islands-Rum-Punch,446.4,27.9,0.3,1.7,0,799
83,Seven-Layer-Salad-II,377.8,57.6,11.6,21.8,0,666
84,Bruschetta-II,309.1,41.0,11.5,10.2,0,309
85,Holiday-Season-Cranberry-Bread,362.6,56.4,13.4,6.5,0,310
86,Wine-and-Cheese-Bread-Pudding,483.9,78.5,11.5,13.2,0,280
87,Focaccia,380.6,60.6,11.0,8.8,0,577
88,Lazy-Cabbage-Roll-Casserole,277.4,31.3,10.7,15.0,0,727
89,Gingersnap-Pumpkin-Pie,296.5,55.2,5.9,6.3,0,899
90,Roasted-Butternut-Squash-Soup,378.8,77.7,4.3,7.7,0,49
91,Salmon-Club-Sandwich-with-Roasted-Shallot-Smear,335.2,49.6,10.5,10.9,0,180
92,Penne-Piperade,467.4,97.0,6.2,10.4,0,328
93,Blackberry-Pie-IIi,410.9,64.3,16.0,4.3,0,513
94,Wild-Rice-Cheddar-Broccoli-Bake,397.0,53.9,14.4,14.9,0,211
95,Corn-Chowder-II,259.7,45.8,7.2,7.1,0,35
96,Corn-Chowder-III,286.1,55.7,5.0,12.6,0,35
97,Corn-Chowder--Crock-Pot-,353.5,71.7,7.2,9.8,0,35
98,Low-Fat-Carrot-Cake,258.3,57.1,2.0,4.0,0,51
99,Black-Pepper-Parmesan-Dressing,302.7,11.3,14.0,32.4,0,66
100,Lazy-Day-Lasagna,386.2,41.7,14.4,21.6,0,727
101,Italian-Vegetable-Pasta-Bake,242.6,27.1,8.8,14.1,0,92
102,Low-Fat-Black-Bean-Chili,339.2,63.7,2.4,19.6,0,51
103,Garlic-Mashed-Potatoes,273.4,42.5,10.0,4.9,0,33
104,Garlic-Mashed-Potatoes-II,435.1,76.2,10.8,11.2,0,33
105,Apple-Filled-Acorn-Squash,285.9,50.5,10.5,3.5,0,20
106,Deluxe-Acorn-Squash,318.6,44.2,12.5,11.6,0,900
107,Berry-Blast-Smoothie,263.1,64.9,0.5,3.8,0,233
108,Choco-Banana-Wonder-Smoothie,349.9,55.7,7.4,18.6,0,800
109,Shepherd-s-Pie-With-Eggplant--Aubergine-,262.8,36.6,9.6,10.9,0,801
110,Aduki-Bean-Stew,249.6,50.2,1.2,14.2,0,2113
111,Vegetarian-Shepherd-s-Pie,309.8,59.0,4.3,10.9,0,158
112,Italian-White-Bean-Salad,285.9,52.7,0.8,18.6,0,92
113,Maraschino-Cake,477.6,71.6,18.7,7.5,0,1217
114,Cherry-Crunch,323.5,50.5,12.3,3.1,0,82
115,Spaghetti-Squash--Tomato--Mushroom--amp--Cheese-Casserole,312.2,35.8,10.9,19.7,0,118
116,Fried-Rice,466.5,81.5,10.9,9.2,0,57
117,Fruity-Cake,462.5,76.1,15.5,6.6,0,543
118,Chocolate-Pudding-Cake-II,304.9,49.0,11.1,4.1,0,6
119,Ziti-Pizzaiola,271.4,46.8,3.0,14.4,0,664
120,Honey-Oat-Bread--Bread-Machine-,255.3,48.3,4.3,5.9,0,97
121,Meatless-Chili,297.6,60.0,1.2,13.0,0,667
122,Meatless-Chili-II,317.5,56.5,3.4,19.0,0,667
123,Meatless-Chili-III,255.0,46.4,4.0,11.5,0,667
124,Low-Fat-Hot-and-Sour-Szechwan-Eggplant,368.7,71.2,9.2,13.9,0,51
125,Garlic-Herb-Spread,260.2,46.1,1.2,19.2,0,33
126,Baked-Sweet-Potatoes,282.7,53.0,7.0,3.6,0,23
127,Bulk-Taco-Seasoning-Mix,317.2,61.1,9.0,11.4,0,2115
128,Bink-s-Smoothie,360.0,49.4,14.6,14.7,0,2116
129,Boxty,486.0,72.4,18.7,8.2,0,2117
130,Low-Fat-Oven-Easy-Turkey---Potato-Dinner,377.4,41.4,14.9,22.6,0,51
131,Oyster-Stuffing,278.9,37.1,9.4,11.1,0,409
132,Homemade-Tortilla-Chips,418.9,59.0,15.7,9.5,0,136
133,Creamy-Cucumber-Salad,293.6,54.4,5.0,10.7,0,59
134,Oriental-Noodles-with-Beef---Vegetables,236.8,33.1,5.8,12.8,0,363
135,Low-Fat-Gorgonzola-White-Bean-Soup,304.9,46.0,3.8,22.7,0,51
136,Pasta-with-Mussel-Sauce,328.4,51.4,3.9,23.3,0,25
137,Fried-Apple-Pies,299.2,49.6,9.8,4.6,0,57
138,Green-Peppercorn-Mustard,462.9,59.6,19.8,17.0,0,44
139,Chicken---Orzo-Salad-with-Citrus-Vinaigrette,366.9,51.0,8.0,22.9,0,7
140,Low-Fat-Angel-Hair-Pasta-with-Onion-Mushroom-Sauce,280.4,50.9,4.1,10.5,0,51
141,Chicken-Tortilla-Soup,244.9,26.9,8.1,18.4,0,7
142,Shoo-Fly-Pie,401.3,70.6,11.8,4.3,0,1507
143,Grapefruit-Cranberry-Relish,371.7,96.2,0.2,1.1,0,802
144,Baked-Tomatoes-with-Orzo-and-Olives,291.2,51.3,4.9,10.4,0,23
145,Quick-Mix-Steamed-Chocolate-Pudding,304.2,48.9,11.7,5.4,0,84
146,Quick-Mix-Steamed-Golden-Pudding,336.9,60.5,9.1,4.4,0,84
147,Quick-Mix-Steamed-Upside-Down-Pudding,363.2,60.3,11.9,4.5,0,84
148,Shoofly-Pie,385.3,59.5,14.9,4.1,0,2118
149,Fofo---Fufu,257.0,59.8,0.2,5.0,0,2119
150,Chicken-Tortilla-Soup-IIi,232.3,30.1,8.6,13.2,0,7
151,Wild-Rice-Waldorf-Salad,318.3,60.1,6.7,7.6,0,211
152,20-Minute-Chicken-Creole,228.2,22.3,7.4,18.6,0,1510
153,Yellow-Rice,444.1,75.2,12.3,8.1,0,234
154,North-State-s-Plate-s-Tofu-Roast,302.9,34.0,13.6,17.4,0,904
155,Jenny-Gentile-s-Pizza-Dough,261.9,51.1,3.0,6.9,0,2121
156,Crock-Pot-Cabbage-Rolls,227.4,21.1,7.9,18.0,0,160
157,Parsnip--Ginger--and-Orange-Soup,295.2,41.6,12.0,7.7,0,1511
158,Mary-Krull-s-Rosemary-Onion-Tarts--Pizza-,306.3,46.5,10.4,7.4,0,422
159,Pasta--Corn---Beans,382.8,72.0,4.5,15.6,0,25
160,Smoked-Salmon-Fettuccine,314.0,45.6,6.8,14.3,0,313
161,Emeril-s-Essence,268.1,58.3,5.6,11.8,0,905
162,Green-Bean-and-Ham-Soup,223.0,26.2,6.7,15.3,0,44
163,Island-Chicken-with-Pineapple-Salsa,236.2,28.8,6.8,16.0,0,515
164,Low-Fat-Easy-Macaroni-and-Cheese-with-Vegetables,336.6,39.3,11.6,18.7,0,51
165,Self-Rising-Flour,458.5,97.0,1.2,12.9,0,906
166,Self-Rising-Flour--america-,457.4,96.5,1.2,12.9,0,906
167,15-Minute-Red-Beans---Rice,289.9,58.1,1.4,10.2,0,1220
168,Brown-Rice-Broccoli-Casserole,341.0,44.8,13.0,12.8,0,175
169,Black-Skillet-Beef-with-Greens---Red-Potatoes,392.1,56.9,8.1,23.5,0,66
170,Blueberry-Dream-Cake,257.5,46.7,6.3,5.1,0,90
171,Broccoli-Soup,269.8,33.5,10.4,13.8,0,40
172,Basmati-Italiano,306.2,53.6,6.4,9.4,0,907
173,Orange-Date-Loaves,284.5,49.7,8.0,5.0,0,34
174,Low-Fat-Clam---Vegetable-Chowder,332.4,52.3,4.0,23.0,0,51
175,Penne-with-Artichoke-Hearts,487.6,104.5,2.8,12.9,0,328
176,Yogurt-Rice,267.1,50.3,1.4,12.2,0,161
177,Swiss-Chard-and-Penne-Soup,329.6,45.4,10.4,15.1,0,269
178,All-Purpose-Relish,252.3,60.5,0.9,6.8,0,423
179,Perky-Tomato-Sauce-and-Tuna,257.2,15.3,11.5,25.6,0,2126
180,Pfeffernusse--Pepper-Balls-,330.2,71.5,3.2,5.5,0,2127
181,Erbsenpuree--Yellow-Split-Pea-Puree-,295.1,48.1,4.7,17.2,0,2128
182,Mashed-Potatoes-with-Horseradish-Cream,313.4,47.8,11.7,6.1,0,142
183,Traditional-Decorated-Christmas-Cookies,283.4,48.1,9.1,3.0,0,364
184,Marinade-for-Lamb-or-Goat,368.0,26.4,4.7,5.3,0,154
185,Basmati-Rice-Seasoned-with-Garam-Masala,304.1,49.5,9.5,5.2,0,907
186,Easy-Apple-Cake,283.0,58.1,5.0,3.6,0,24
187,Easy-Apple-Relish,368.1,95.3,0.2,0.5,0,24
188,Apple-Dumplings,416.9,69.4,14.2,5.4,0,20
189,Stir-Fried-Chicken---Apples,369.3,41.0,17.2,15.9,0,135
190,Sweet-Potatoes-and-Apples,302.6,54.9,9.5,2.1,0,28
191,Apple-Crisp-IV,342.7,58.1,12.4,2.7,0,20
192,Apple-Pandowdy,384.0,68.7,10.3,6.3,0,20
193,Baltimore-Peach-Cake,282.7,58.0,4.4,4.4,0,2131
194,Hearty-Meatless-Chili,261.0,48.2,1.5,16.5,0,237
195,Danish-Sourdough-Pumpernickel,300.6,57.0,5.2,7.1,0,516
196,Sunday-Black-Bean-Soup,384.0,64.2,2.8,20.8,0,1039
197,Cheddar-Bread-Ring,301.5,38.0,11.5,11.1,0,168
198,Peach-Cobbler-With-Cheddar-Biscuits,314.8,50.7,10.8,5.5,0,114
199,Zwei-Bohnenensuppe--Two-Bean-Soup-,240.7,34.4,5.0,15.2,0,2132
200,Quick-Pea-Soup,310.5,47.8,6.1,18.0,0,84
201,Pasta-and-Bean-Soup,306.1,49.9,7.3,12.2,0,25
202,Onion-and-Bacon-Pie,289.6,40.1,11.0,7.1,0,53
203,Dutch-Oven-Pot-Roast,413.1,86.0,4.9,9.4,0,412
204,Cranberry-Sour-Cream-Muffins,419.9,61.5,16.8,6.7,0,72
205,Pasta-Di-Pina,301.3,40.5,12.3,7.5,0,25
206,Mary-Rogers-s-Sourdough-Biscuits,491.2,66.3,20.1,10.1,0,422
207,Finnish-Summer-Soup,389.1,52.1,16.2,10.8,0,1222
208,Sweet-and-Sour-Edamame-Soybeans,299.8,39.9,11.2,13.4,0,28
209,Seafood-Pasta-Salad,446.2,49.5,16.6,24.1,0,389
210,Steak-Vegetable-Pockets,370.9,45.1,8.0,29.5,0,133
211,Festive-Pudding,270.5,55.5,4.6,3.5,0,909
212,Warm-Springs-Fried-Bread,323.1,55.8,7.5,7.5,0,247
213,Mexican-Pinto-Bean-Dip,283.6,42.0,7.5,17.2,0,87
214,Apricot-Almond-Buns,318.9,51.1,9.8,7.3,0,163
